team, icon_url, arena, loc_lat, loc_lng
Toronto Raptors, http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif, Air Canada Centre, 43.643333, -79.379167
Miami Heat, http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif, American Airlines Arena, 25.781389, -80.188056
Dallas Mavericks, http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif, American Airlines Center, 32.790556, -96.810278
Orlando Magic, http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif, Amway Center, 28.539167, -81.383611
San Antonio Spurs, http://content.sportslogos.net/logos/6/233/thumbs/827.gif, AT&T Center, 29.426944, -98.4375
Indiana Pacers, http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif, Bankers Life Fieldhouse, 39.763889, -86.155556
Brooklyn Nets, http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif, Barclays Center, 40.68265, -73.974689
Milwaukee Bucks, http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif, Bradley Center, 43.043611, -87.916944
Washington Wizards, http://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif, Capital One Arena, 38.898056, -77.020833
Oklahoma City Thunder, http://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif, Chesapeake Energy Arena, 35.463333, -97.515
Memphis Grizzlies, http://content.sportslogos.net/logos/6/231/thumbs/793.gif, FedExForum, 35.138333, -90.050556
Sacramento Kings, http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif, Golden 1 Center, 38.580361, -121.499611
Detroit Pistons, http://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif, Little Caesars Arena, 42.341172, -83.054911
New York Knicks, http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif, Madison Square Garden, 40.750556, -73.993611
Portland Trail Blazers, http://content.sportslogos.net/logos/6/239/thumbs/23997252018.gif, Moda Center, 45.531667, -122.666667
Golden State Warriors, http://content.sportslogos.net/logos/6/235/thumbs/qhhir6fj8zp30f33s7sfb4yw0.gif, Oracle Arena, 37.750278, -122.203056
Denver Nuggets, http://content.sportslogos.net/logos/6/229/thumbs/xeti0fjbyzmcffue57vz5o1gl.gif, Pepsi Center, 39.748611, -105.0075
Atlanta Hawks, http://content.sportslogos.net/logos/6/220/thumbs/22091682016.gif, Philips Arena, 33.757222, -84.396389
Cleveland Cavaliers, http://content.sportslogos.net/logos/6/222/thumbs/22269212018.gif, Quicken Loans Arena, 41.496389, -81.688056
New Orleans Pelicans, http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif, Smoothie King Center, 29.948889, -90.081944
Charlotte Hornets, http://content.sportslogos.net/logos/6/5120/thumbs/512019262015.gif, Spectrum Center, 35.225, -80.839167
Los Angeles Clippers, http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif, Staples Center, 34.093056, -118.317222
Los Angeles Lakers, http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif, Staples Center, 34.043056, -118.267222
Phoenix Suns, http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif, Talking Stick Resort Arena, 33.445833, -112.071389
Minnesota Timberwolves, http://content.sportslogos.net/logos/6/232/thumbs/23296692018.gif, Target Center, 44.979444, -93.276111
Boston Celtics, http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif, TD Garden, 42.366303, -71.062228
Houston Rockets, http://content.sportslogos.net/logos/6/230/thumbs/8xe4813lzybfhfl14axgzzqeq.gif, Toyota Center, 29.750833, -95.362222
Chicago Bulls, http://content.sportslogos.net/logos/6/221/thumbs/hj3gmh82w9hffmeh3fjm5h874.gif, United Center, 41.880556, -87.674167
Utah Jazz, http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif, Vivint Smart Home Arena, 40.768333, -111.901111
Philadelphia 76ers, http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif, Wells Fargo Center, 39.901111, -75.171944